2025-05-01 13:01:20.340 [info] Starting Python Locator /home/vboxuser/.vscode/extensions/ms-python.python-2025.4.0-linux-x64/python-env-tools/bin/pet server
2025-05-01 13:01:20.593 [info] Discovered env: /bin/python3
2025-05-01 13:01:20.664 [info] Discovered env: /usr/bin/python3
2025-05-01 13:01:20.689 [info] Locator Conda took 771.254052ms
2025-05-01 13:01:20.694 [info] Locator Homebrew took 155.48µs
2025-05-01 13:01:20.694 [info] Locator LinuxGlobal took 1.259966411s
2025-05-01 13:01:20.694 [info] Locator PipEnv took 16.286µs
2025-05-01 13:01:20.694 [info] Locator Pixi took 26.672µs
2025-05-01 13:01:20.694 [info] Locator Poetry took 181.065µs
2025-05-01 13:01:20.695 [info] Locator PyEnv took 15.257188ms
2025-05-01 13:01:20.695 [info] Locator Venv took 273.99µs
2025-05-01 13:01:20.695 [info] Locator VirtualEnv took 14.023µs
2025-05-01 13:01:20.695 [info] Locator VirtualEnvWrapper took 10.492µs
2025-05-01 13:01:20.695 [info] Locator GlobalVirtualEnvs took 104.793µs
2025-05-01 13:01:20.695 [info] Locator Locators took 1.279217153s
2025-05-01 13:01:20.696 [info] Locator Path took 1.576747218s
2025-05-01 13:01:20.696 [info] Locator Workspaces took 17.965335ms
2025-05-01 13:01:20.696 [info] Refresh completed in 1586ms
2025-05-01 13:01:20.871 [info] Resolved Python Environment /bin/python3
